DEPT,DT,GR,M2R1,M2R2,M2R3,M2R6,M2R9,M2RX,SP,ZDEN
M,US/FT,gAPI,OHMM,OHMM,OHMM,OHMM,OHMM,OHMM,mV,G/C3
1272.0001,106.2927,92.3108,0.74,0.74,0.75,0.75,0.74,0.74,-999.25,-999.25
1272.1001,106.4218,92.3802,0.74,0.74,0.75,0.75,0.74,0.74,-999.25,-999.25
1272.2001,106.5543,92.7889,0.74,0.74,0.75,0.75,0.74,0.74,-999.25,-999.25
1272.3001,106.6835,93.1893,0.74,0.74,0.75,0.75,0.74,0.74,-999.25,-999.25
1272.4001,106.761,93.5999,0.74,0.74,0.75,0.75,0.74,0.74,-999.25,-999.25
1272.5001,106.4437,94.0107,0.7401,0.7401,0.7501,0.7501,0.7401,0.7401,-999.25,-999.25
1272.6001,106.1338,94.411,0.7478,0.7478,0.7578,0.7578,0.7478,0.7478,-999.25,-999.25
1272.7001,105.8159,94.6655,0.761,0.761,0.7715,0.7715,0.761,0.761,-999.25,-999.25
1272.8001,105.4982,93.0507,0.7743,0.7743,0.7914,0.7914,0.7743,0.7743,-999.25,-999.25
1272.9001,105.1883,91.4717,0.7908,0.7908,0.8072,0.8072,0.7872,0.7872,-999.25,-999.25
1273.0001,104.87,89.8473,0.81,0.81,0.82,0.82,0.8002,0.8002,-999.25,-999.25
1273.1001,104.5602,88.2725,0.81,0.81,0.82,0.82,0.8067,0.8067,-999.25,-999.25
1273.2001,104.3116,87.5943,0.81,0.81,0.82,0.82,0.81,0.81,-999.25,-999.25
1273.3001,104.1326,87.8566,0.81,0.81,0.82,0.82,0.81,0.81,-999.25,-999.25
1273.4001,103.9647,88.1147,0.81,0.81,0.82,0.82,0.81,0.81,-999.25,-999.25
1273.5001,103.7893,88.3799,0.81,0.81,0.82,0.82,0.81,0.81,-999.25,-999.25
1273.6001,103.6129,88.6448,0.81,0.81,0.82,0.82,0.81,0.81,-999.25,-999.25
1273.7001,103.6972,88.909,0.81,0.81,0.82,0.82,0.81,0.81,-999.25,-999.25
1273.8001,103.803,89.1778,0.845,0.845,0.82,0.82,0.81,0.81,-999.25,-999.25
1273.9001,103.9089,89.4427,0.9311,0.9311,0.8212,0.8212,0.8113,0.8113,-999.25,-999.25
1274.0001,104.0123,89.7014,1.0152,1.0152,0.9184,0.9184,0.9142,0.9142,-999.25,-999.25
1274.1001,104.1183,89.526,1.1013,1.1013,1.0309,1.0309,1.0309,1.0309,-999.25,-999.25
1274.2001,104.2216,88.6031,1.1852,1.1852,1.1406,1.1406,1.1406,1.1406,-999.25,-999.25
1274.3001,104.3276,87.6561,1.2713,1.2713,1.2532,1.2532,1.2532,1.2532,-999.25,-999.25
1274.4001,103.9495,86.7113,1.3595,1.3595,1.3679,1.3679,1.3658,1.3658,-999.25,-999.25
1274.5001,102.5602,85.7937,1.4499,1.4499,1.4842,1.4842,1.4756,1.4756,-999.25,-999.25
1274.6001,101.1364,84.8482,1.5374,1.5374,1.5981,1.5981,1.5881,1.5881,-999.25,-999.25
1274.7001,99.7128,83.9013,1.5747,1.5747,1.6511,1.6511,1.6447,1.6447,-999.25,-999.25
1274.8001,98.3252,82.9784,1.4843,1.4843,1.5478,1.5478,1.5543,1.5543,-999.25,-999.25
1274.9001,96.9017,83.4285,1.3965,1.3965,1.4419,1.4419,1.4665,1.4665,-999.25,-999.25
1275.0001,95.5715,84.3532,1.311,1.311,1.3398,1.3398,1.381,1.381,-999.25,-999.25
1275.1001,94.4308,85.2995,1.2184,1.2184,1.2405,1.2405,1.2884,1.2884,-999.25,-999.25
1275.2001,93.2918,86.2419,1.1303,1.1303,1.1366,1.1366,1.1957,1.1957,-999.25,-999.25
1275.3001,92.181,87.16,1.0453,1.0453,1.0343,1.0343,1.1064,1.1064,-999.25,-999.25
1275.4001,91.0427,88.1064,0.9527,0.9527,0.935,0.935,1.0203,1.0203,-999.25,-999.25
1275.5001,89.9025,89.0535,0.9028,0.9028,0.8828,0.8828,0.9299,0.9299,-999.25,-999.25
1275.6001,88.7916,89.8975,0.8762,0.8762,0.857,0.857,0.8473,0.8473,-999.25,-999.25
1275.7001,87.6591,90.1723,0.8431,0.8431,0.8305,0.8305,0.8205,0.8205,-999.25,-999.25
1275.8001,88.2077,90.4332,0.8109,0.8109,0.8047,0.8047,0.7908,0.7908,-999.25,-999.25
1275.9001,89.9155,90.6986,0.7782,0.7782,0.7782,0.7782,0.7577,0.7577,-999.25,-999.25
1276.0001,91.6398,90.9704,0.7516,0.7516,0.7517,0.7517,0.7246,0.7246,-999.25,-999.25
1276.1001,93.3184,91.2352,0.7223,0.7223,0.7258,0.7258,0.6959,0.6959,-999.25,-999.25
1276.2001,95.0391,91.5065,0.6892,0.6892,0.6992,0.6992,0.6692,0.6692,-999.25,-999.25
1276.3001,96.7611,91.778,0.6563,0.6563,0.6663,0.6663,0.6363,0.6363,-999.25,-999.25
1276.4001,98.4398,92.0395,0.6434,0.6434,0.6566,0.6566,0.6266,0.6266,-999.25,-999.25
1276.5001,100.162,92.3024,0.6499,0.6499,0.6697,0.6697,0.6397,0.6397,-999.25,-999.25
1276.6001,101.6254,91.6807,0.65,0.65,0.6765,0.6765,0.6465,0.6465,-999.25,-999.25
1276.7001,103.0459,91.0544,0.653,0.653,0.6829,0.6829,0.6559,0.6559,-999.25,-999.25
1276.8001,104.5019,90.4125,0.6596,0.6596,0.6896,0.6896,0.6691,0.6691,-999.25,-999.25
1276.9001,105.9228,89.786,0.666,0.666,0.696,0.696,0.676,0.676,-999.25,-999.25
1277.0001,107.3811,89.143,0.67,0.67,0.7053,0.7053,0.6853,0.6853,-999.25,-999.25
1277.1001,108.8247,88.501,0.6701,0.6701,0.7185,0.7185,0.6985,0.6985,-999.25,-999.25
1277.2001,108.7124,87.8746,0.6815,0.6815,0.7257,0.7257,0.7057,0.7057,-999.25,-999.25
1277.3001,108.383,87.5539,0.6924,0.6924,0.7324,0.7324,0.7147,0.7147,-999.25,-999.25
1277.4001,108.0521,87.8186,0.699,0.699,0.739,0.739,0.7279,0.7279,-999.25,-999.25
1277.5001,107.7288,88.0773,0.7109,0.7109,0.7454,0.7454,0.7354,0.7354,-999.25,-999.25
1277.6001,107.3977,88.3421,0.7241,0.7241,0.7521,0.7521,0.7421,0.7421,-999.25,-999.25
1277.7001,107.075,88.6003,0.737,0.737,0.7585,0.7585,0.7485,0.7485,-999.25,-999.25
1277.8001,106.6568,88.8703,0.7451,0.7451,0.7651,0.7651,0.7603,0.7603,-999.25,-999.25
1277.9001,106.2149,89.1401,0.7535,0.7535,0.7718,0.7718,0.7718,0.7718,-999.25,-999.25
1278.0001,105.788,89.3988,0.7664,0.7664,0.7782,0.7782,0.7782,0.7782,-999.25,-999.25
1278.1001,105.3463,89.6634,0.77,0.77,0.78,0.78,0.78,0.78,-999.25,-999.25
1278.2001,104.9565,89.6396,0.77,0.77,0.78,0.78,0.78,0.78,-999.25,-999.25
1278.3001,104.7627,88.6191,0.77,0.77,0.78,0.78,0.78,0.78,-999.25,-999.25
1278.4001,104.5641,87.5777,0.77,0.77,0.78,0.78,0.78,0.78,-999.25,-999.25
